INFO  - 2015-01-08 14:16:00.618; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/extraction/lib/icu4j-53.1.jar' to classloader
INFO  - 2015-01-08 14:16:00.619; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2015-01-08 14:16:00.619; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2015-01-08 14:16:00.619; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
INFO  - 2015-01-08 14:16:00.620; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/extraction/lib/jhighlight-1.0.jar' to classloader
INFO  - 2015-01-08 14:16:00.620; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2015-01-08 14:16:00.621; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2015-01-08 14:16:00.621; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/extraction/lib/pdfbox-1.8.4.jar' to classloader
INFO  - 2015-01-08 14:16:00.621; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/extraction/lib/poi-3.10.1.jar' to classloader
INFO  - 2015-01-08 14:16:00.622; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/extraction/lib/poi-ooxml-3.10.1.jar' to classloader
INFO  - 2015-01-08 14:16:00.622; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/extraction/lib/poi-ooxml-schemas-3.10.1.jar' to classloader
INFO  - 2015-01-08 14:16:00.623; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/extraction/lib/poi-scratchpad-3.10.1.jar' to classloader
INFO  - 2015-01-08 14:16:00.623; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2015-01-08 14:16:00.624; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2015-01-08 14:16:00.624; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/extraction/lib/tika-core-1.5.jar' to classloader
INFO  - 2015-01-08 14:16:00.624; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/extraction/lib/tika-parsers-1.5.jar' to classloader
INFO  - 2015-01-08 14:16:00.625; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
INFO  - 2015-01-08 14:16:00.625; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2015-01-08 14:16:00.626; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2015-01-08 14:16:00.626; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2015-01-08 14:16:00.627; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/extraction/lib/xmlbeans-2.6.0.jar' to classloader
INFO  - 2015-01-08 14:16:00.627; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2015-01-08 14:16:00.628; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/extraction/lib/xz-1.4.jar' to classloader
INFO  - 2015-01-08 14:16:00.630; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/dist/solr-cell-4.10.3.jar' to classloader
INFO  - 2015-01-08 14:16:00.632; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
INFO  - 2015-01-08 14:16:00.632; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
INFO  - 2015-01-08 14:16:00.637; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2015-01-08 14:16:00.637; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2015-01-08 14:16:00.638; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2015-01-08 14:16:00.638; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2015-01-08 14:16:00.639; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2015-01-08 14:16:00.639; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2015-01-08 14:16:00.641; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/dist/solr-clustering-4.10.3.jar' to classloader
INFO  - 2015-01-08 14:16:00.642; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2015-01-08 14:16:00.642; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2015-01-08 14:16:00.643; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/dist/solr-langid-4.10.3.jar' to classloader
INFO  - 2015-01-08 14:16:00.644; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/velocity/lib/commons-beanutils-1.8.3.jar' to classloader
INFO  - 2015-01-08 14:16:00.644; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2015-01-08 14:16:00.645; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2015-01-08 14:16:00.645; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2015-01-08 14:16:00.646; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/alan/Code/solrnutch/solr-4.10.3/dist/solr-velocity-4.10.3.jar' to classloader
INFO  - 2015-01-08 14:16:00.832; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2015-01-08 14:16:00.839; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: 4.10.3
INFO  - 2015-01-08 14:16:01.002; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2015-01-08 14:16:01.012; org.apache.solr.schema.IndexSchema; Reading Solr Schema from /Users/alan/Code/solrnutch/solr-4.10.3/example/solr/collection1/conf/schema.xml
INFO  - 2015-01-08 14:16:01.125; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2015-01-08 14:16:01.914; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2015-01-08 14:16:01.934; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2015-01-08 14:16:01.935; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2015-01-08 14:16:02.018; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2015-01-08 14:16:02.026; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2015-01-08 14:16:02.176; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir /Users/alan/Code/solrnutch/solr-4.10.3/example/solr/collection1/
INFO  - 2015-01-08 14:16:02.196; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
